epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,298.994,1.38208,2.86637,1.63862,0.00372,0.7737,0.42313,0.23438,1.24758,2.86108,1.65157,0.00053344,0.00053344,0.00053344
2,318.253,1.26771,1.98713,1.54796,0.86894,0.32802,0.6869,0.42564,1.42469,2.17922,1.79437,0.000976279,0.000976279,0.000976279
3,336.917,1.21349,1.66775,1.49157,0.51625,0.40418,0.44593,0.21691,1.89968,2.36305,2.16247,0.0013102,0.0013102,0.0013102
4,356.615,1.20556,1.47272,1.47094,0.70343,0.73186,0.78923,0.51737,1.30237,1.71963,1.74402,0.0011719,0.0011719,0.0011719
5,375.153,1.16443,1.24544,1.43819,0.65278,0.84634,0.84951,0.55101,1.23656,1.2128,1.60924,0.00100687,0.00100687,0.00100687
6,394.062,1.11397,1.1135,1.3804,0.91758,0.90668,0.9527,0.63409,1.19445,0.88737,1.55359,0.000841835,0.000841835,0.000841835
7,414.3,1.04847,0.96226,1.33874,0.92415,0.91303,0.95864,0.61884,1.16974,0.86642,1.50336,0.000676802,0.000676802,0.000676802
8,433.003,0.98038,0.8611,1.28642,0.93679,0.8967,0.9593,0.66829,1.07362,0.71538,1.40954,0.000511769,0.000511769,0.000511769
9,451.628,0.94823,0.78136,1.24637,0.956,0.92794,0.97256,0.69913,1.03403,0.65721,1.34739,0.000346736,0.000346736,0.000346736
10,471.486,0.86656,0.69432,1.18866,0.94697,0.94468,0.97734,0.69037,1.0382,0.62348,1.32667,0.000181703,0.000181703,0.000181703
